ID	Inhibitor.1	Inhibitor.2	Pearson.cor.coef	p.value	Bonf_adj_p.value	class_comparison	sign	all_same.	observed	possible	obs_poss
98	Phenolic acid - Pyrazine	Phenolic acid	Pyrazine	0.5768706	7.2e-19	1.22e-16	Interclass	FALSE	same	2	10	2/10
99	Phenolic acid - Pyrazine	Phenolic acid	Pyrazine	0.3589944	6.78e-09	1.15e-06	Interclass	FALSE	same	2	10	2/10
100	Phenolic aldehyde - Phenolic amide	Phenolic amide	Phenolic aldehyde	0.5194952	1.51e-20	2.57e-18	Interclass	FALSE	same	6	6	6/6
101	Phenolic aldehyde - Phenolic amide	Phenolic aldehyde	Phenolic amide	0.2895339	2.12e-07	3.6e-05	Interclass	FALSE	same	6	6	6/6
102	Phenolic aldehyde - Phenolic amide	Phenolic aldehyde	Phenolic amide	0.467043	3.59e-17	6.1e-15	Interclass	FALSE	same	6	6	6/6
103	Phenolic aldehyde - Phenolic amide	Phenolic aldehyde	Phenolic amide	0.4250547	4.16e-14	7.07e-12	Interclass	FALSE	same	6	6	6/6
104	Phenolic aldehyde - Phenolic amide	Phenolic aldehyde	Phenolic amide	0.2868994	3.6e-07	6.12e-05	Interclass	FALSE	same	6	6	6/6
105	Phenolic aldehyde - Phenolic amide	Phenolic amide	Phenolic aldehyde	0.3842882	4.15e-11	7.05e-09	Interclass	FALSE	same	6	6	6/6
106	Phenolic aldehyde - Phenone	Phenolic aldehyde	Phenone	0.3240129	7.35e-09	1.25e-06	Interclass	FALSE	same	7	9	7/9
107	Phenolic aldehyde - Phenone	Phenolic aldehyde	Phenone	0.5576687	8.97e-25	1.53e-22	Interclass	FALSE	same	7	9	7/9
108	Phenolic aldehyde - Phenone	Phenolic aldehyde	Phenone	0.6853598	1.91e-31	3.25e-29	Interclass	FALSE	same	7	9	7/9
109	Phenolic aldehyde - Phenone	Phenolic aldehyde	Phenone	0.5299069	1.98e-19	3.37e-17	Interclass	FALSE	same	7	9	7/9
110	Phenolic aldehyde - Phenone	Phenone	Phenolic aldehyde	0.4456582	1.78e-12	3.03e-10	Interclass	FALSE	same	7	9	7/9
111	Phenolic aldehyde - Phenone	Phenolic aldehyde	Phenone	0.5410022	3.04e-21	5.17e-19	Interclass	FALSE	same	7	9	7/9
112	Phenolic aldehyde - Phenone	Phenone	Phenolic aldehyde	0.4671591	1.78e-16	3.03e-14	Interclass	FALSE	same	7	9	7/9
113	Phenolic aldehyde - Pyrazine	Phenolic aldehyde	Pyrazine	0.3508473	4.6e-09	7.83e-07	Interclass	FALSE	same	1	3	1/3
114	Phenolic amide - Phenone	Phenolic amide	Phenone	0.7643738	1.8e-51	3.06e-49	Interclass	FALSE	same	6	6	6/6
115	Phenolic amide - Phenone	Phenolic amide	Phenone	0.695663	4.91e-35	8.35e-33	Interclass	FALSE	same	6	6	6/6
116	Phenolic amide - Phenone	Phenolic amide	Phenone	0.5398004	2.38e-22	4.05e-20	Interclass	FALSE	same	6	6	6/6
117	Phenolic amide - Phenone	Phenolic amide	Phenone	0.626381	1.54e-28	2.61e-26	Interclass	FALSE	same	6	6	6/6
118	Phenolic amide - Phenone	Phenolic amide	Phenone	0.4249613	2.98e-12	5.07e-10	Interclass	FALSE	same	6	6	6/6
119	Phenolic amide - Phenone	Phenolic amide	Phenone	0.4953314	2.57e-17	4.38e-15	Interclass	FALSE	same	6	6	6/6
120	Phenolic amide - Pyrazine	Phenolic amide	Pyrazine	0.3498694	3.66e-09	6.22e-07	Interclass	FALSE	same	2	2	2/2
121	Phenolic amide - Pyrazine	Phenolic amide	Pyrazine	0.3552989	1.16e-09	1.96e-07	Interclass	FALSE	same	2	2	2/2
122	Phenolic amide - Solvent	Phenolic amide	Solvent	0.3500375	1.8e-08	3.06e-06	Interclass	FALSE	same	3	6	3/6
123	Phenolic amide - Solvent	Solvent	Phenolic amide	0.3218653	3.05e-08	5.18e-06	Interclass	FALSE	same	3	6	3/6
124	Phenolic amide - Solvent	Phenolic amide	Solvent	0.7251832	5.24e-45	8.9e-43	Interclass	FALSE	same	3	6	3/6
125	Phenone - Solvent	Solvent	Phenone	0.6443286	2.57e-27	4.37e-25	Interclass	FALSE	same	4	9	4/9
126	Phenone - Solvent	Solvent	Phenone	0.6620915	3.57e-34	6.06e-32	Interclass	FALSE	same	4	9	4/9
127	Phenone - Solvent	Solvent	Phenone	0.3575172	2.8e-08	4.76e-06	Interclass	FALSE	same	4	9	4/9
128	Phenone - Solvent	Solvent	Phenone	0.4854855	1.55e-15	2.63e-13	Interclass	FALSE	same	4	9	4/9
129	Solvent - Terpene	Terpene	Solvent	0.4311421	1.48e-13	2.51e-11	Interclass	FALSE	same	1	3	1/3
