"gene"	"BenzoicAcid"
"420"	"YCR101C"	0.142401820571718
"421"	"YCR102C"	-0.136343314727015
"422"	"YCR102W-A"	-0.082215152956993
"423"	"YCR105W"	-0.115395773893469
"424"	"YCR106W"	0.0227252265198073
"425"	"YCR107W"	-0.251474873069454
"426"	"YDL001W"	-0.159865291270757
"427"	"YDL002C"	0.211044930795129
"428"	"YDL006W"	-0.0470862906063194
"429"	"YDL010W"	-0.0773042843039973
"430"	"YDL011C"	-0.0685648643657901
"431"	"YDL012C"	-0.163914822566165
"432"	"YDL013W"	-0.170835521151331
"433"	"YDL018C"	-0.00388808693358084
"434"	"YDL019C"	0.359206592448221
"435"	"YDL020C"	-0.679462420247623
"436"	"YDL024C"	0.131238047107876
"437"	"YDL025C"	-0.0572256902131488
"438"	"YDL026W"	-0.0693293700752049
"439"	"YDL035C"	-0.0547935961781197
"440"	"YDL036C"	-0.312074511303719
"441"	"YDL037C"	0.031827689629309
"442"	"YDL038C"	0.014723764979671
"443"	"YDL039C"	0.0811388316101827
"444"	"YDL048C"	-0.0964420650731869
"445"	"YDL050C"	-0.0798592307117293
"446"	"YDL051W"	-0.158997713606907
"447"	"YDL052C"	0.121390350528819
"448"	"YDL054C"	0.0625441875425689
"449"	"YDL056W"	-0.038565242423169
"450"	"YDL059C"	-0.208321091036048
"451"	"YDL063C"	0.122988478747278
"452"	"YDL066W"	0.306851598794827
"453"	"YDL070W"	0.180451254860478
"454"	"YDL071C"	0.0546002392807928
"455"	"YDL074C"	0.0828257220731409
"456"	"YDL076C"	-0.0832904282047916
"457"	"YDL077C"	-0.281559089815925
"458"	"YDL078C"	-0.291739834764119
"459"	"YDL079C"	-0.262432658922225
"460"	"YDL080C"	0.894234249954893
"461"	"YDL081C"	-0.0274485715990293
"462"	"YDL082W"	0.182374369132612
"463"	"YDL083C"	0.387746694718166
"464"	"YDL085W"	0.0174766948682883
"465"	"YDL086W"	0.0911996346262667
"466"	"YDL088C"	0.171031460131667
"467"	"YDL089W"	0.201271394151847
"468"	"YDL091C"	0.0421921831338271
"469"	"YDL093W"	-0.025335650126978
"470"	"YDL094C"	0.0742894954386839
"471"	"YDL096C"	-0.497857062470255
"472"	"YDL100C"	-0.38323084554559
"473"	"YDL104C"	-1.19089426661732
"474"	"YDL106C"	-0.141876802830636
"475"	"YDL109C"	-0.182565321654795
"476"	"YDL110C"	0.220828955287857
"477"	"YDL112W"	0.0296248538222869
"478"	"YDL114W"	0.530581273075279
"479"	"YDL117W"	-1.93513290564387
"480"	"YDL119C"	-1.36370168568901
"481"	"YDL121C"	0.0422165827766157
"482"	"YDL122W"	-0.32383672137616
"483"	"YDL123W"	-0.282202119123065
"484"	"YDL127W"	-0.309295090851729
"485"	"YDL130W-A"	0.107389436557499
"486"	"YDL130W"	0.215398391257236
"487"	"YDL133C-A"	-0.0849943776629078
"488"	"YDL134C"	-0.106206089058838
"489"	"YDL136W"	0.103093425652384
"490"	"YDL137W"	0.680067575137932
"491"	"YDL142C"	0.0448038971108944
"492"	"YDL144C"	0.0990209196692551
"493"	"YDL149W"	0.082617427917858
"494"	"YDL154W"	-0.052308568945698
"495"	"YDL155W"	-0.162965782880774
"496"	"YDL156W"	-0.101496725305206
"497"	"YDL161W"	-0.212020998986622
"498"	"YDL162C"	0.141055390212228
"499"	"YDL168W"	-0.136395218161904
"500"	"YDL169C"	-0.0694696901684353
"501"	"YDL170W"	0.154449580142666
"502"	"YDL171C"	-0.0239149355433654
"503"	"YDL172C"	-0.186375703273483
"504"	"YDL173W"	0.0692027424970601
"505"	"YDL174C"	-0.0662975154263651
"506"	"YDL175C"	-0.887412663604266
"507"	"YDL177C"	-0.044314327984245
"508"	"YDL178W"	0.0135011799770438
"509"	"YDL180W"	-0.388376173826873
"510"	"YDL182W"	-0.202230199269213
"511"	"YDL184C"	-0.0901200877350507
"512"	"YDL186W"	-0.0386046933525285
"513"	"YDL187C"	-0.112212391004697
"514"	"YDL188C"	0.109361828333696
"515"	"YDL189W"	-0.0330157604424926
"516"	"YDL190C"	0.448816129434539
"517"	"YDL191W"	0.26557230024319
"518"	"YDL194W"	-1.23746970937262
"519"	"YDL197C"	-1.35475573374829
"520"	"YDL199C"	-0.207846388293938
"521"	"YDL200C"	-0.200643737955496
"522"	"YDL201W"	-0.185333243198762
"523"	"YDL203C"	-0.00672744655699339
"524"	"YDL204W"	-0.134025656408786
"525"	"YDL210W"	0.0683973400725725
"526"	"YDL211C"	-0.0755617560887766
"527"	"YDL215C"	-0.161163583526806
"528"	"YDL218W"	-0.200529442312867
"529"	"YDL219W"	-0.0533392293977941
"530"	"YDL223C"	-0.245895965932847
"531"	"YDL224C"	-0.00475995484935718
"532"	"YDL226C"	-0.199178357952655
"533"	"YDL227C"	-0.198327865623495
"534"	"YDL229W"	-0.0130343463556404
"535"	"YDL230W"	-0.110863341839851
"536"	"YDL231C"	-0.235216804516545
"537"	"YDL233W"	-0.146745700966982
"538"	"YDL236W"	-0.200189382429215
"539"	"YDL237W"	-1.61799172346961
"540"	"YDL239C"	-0.00455199172407052
"541"	"YDL240W"	0.265154552392889
"542"	"YDL241W"	-0.149038055683336
"543"	"YDL242W"	-0.15721573840079
"544"	"YDL243C"	-0.220889183999578
"545"	"YDR001C"	0.146233096508458
"546"	"YDR004W"	-0.118938230432347
"547"	"YDR005C"	0.204260783900046
"548"	"YDR006C"	-0.0257168072532491
"549"	"YDR007W"	0.159147052012891
"550"	"YDR009W"	-0.0877657804674517
"551"	"YDR010C"	0.080629196898658
"552"	"YDR011W"	-0.304399021044911
"553"	"YDR014W"	-0.177765926325088
"554"	"YDR015C"	-0.0892715641446688
"555"	"YDR018C"	0.112537594239276
"556"	"YDR019C"	-0.0597755114255222
"557"	"YDR020C"	0.10093818602618
"558"	"YDR022C"	-0.126573499742781
"559"	"YDR024W"	-0.429024942776275
"560"	"YDR025W"	0.964035653213988
"561"	"YDR026C"	-0.0396959472372379
"562"	"YDR030C"	-0.0781208861963658
"563"	"YDR033W"	0.00368540073374026
"564"	"YDR035W"	-0.275757711257917
"565"	"YDR036C"	0.186043866547034
"566"	"YDR046C"	0.194318926231691
"567"	"YDR048C"	-0.0132374501204318
"568"	"YDR049W"	-0.120948326369549
"569"	"YDR051C"	-0.255932864284973
"570"	"YDR055W"	0.413654410463574
"571"	"YDR057W"	0.121611566821787
"572"	"YDR058C"	0.40030058187827
"573"	"YDR061W"	0.0765032161944992
"574"	"YDR063W"	0.637656648868487
"575"	"YDR066C"	0.0397503346324343
"576"	"YDR067C"	0.133070806645853
"577"	"YDR068W"	0.219811149057771
"578"	"YDR070C"	0.160748899722206
"579"	"YDR071C"	-0.242823847141586
"580"	"YDR072C"	-0.158454785344823
"581"	"YDR073W"	-0.0731425295465444
"582"	"YDR074W"	-0.29203968003329
"583"	"YDR076W"	0.209611111101711
"584"	"YDR080W"	-0.986439979484014
"585"	"YDR083W"	0.0321906918352788
"586"	"YDR085C"	0.0623260662096898
"587"	"YDR089W"	0.113511735197975
"588"	"YDR090C"	0.174576401034261
"589"	"YDR092W"	-0.594289008374508
"590"	"YDR093W"	0.363691293300537
"591"	"YDR094W"	-0.518149586737243
"592"	"YDR095C"	0.175238334296303
"593"	"YDR097C"	0.0657315120953419
"594"	"YDR098C"	-0.0782975967876372
"595"	"YDR099W"	-0.293478229804309
"596"	"YDR100W"	0.025177600518135
"597"	"YDR101C"	0.00533906357035323
"598"	"YDR102C"	0.0149661420365902
"599"	"YDR104C"	0.0847322755953164
"600"	"YDR108W"	0.245642395019167
"601"	"YDR109C"	-0.0674133152602023
"602"	"YDR110W"	-0.354326931178895
"603"	"YDR111C"	-0.0124582583468148
"604"	"YDR112W"	-0.176216170595764
"605"	"YDR116C"	0.0370722061631652
"606"	"YDR117C"	-0.245260507365679
"607"	"YDR119W"	-0.0687124367022998
"608"	"YDR120C"	0.645774605503848
"609"	"YDR121W"	0.25364747878212
"610"	"YDR122W"	0.0168214988750582
"611"	"YDR123C"	-0.360188613712428
"612"	"YDR124W"	-0.0770016773219817
"613"	"YDR125C"	0.280106893795984
"614"	"YDR126W"	-0.307126685288881
"615"	"YDR127W"	0.740897394218286
"616"	"YDR128W"	0.0404008315254252
"617"	"YDR130C"	0.189811922335063
"618"	"YDR131C"	0.00116095572072429
"619"	"YDR132C"	0.000643796227601245
"620"	"YDR133C"	-0.046966479868028
"621"	"YDR134C"	-0.0250508094609504
"622"	"YDR135C"	-0.0384576726257811
"623"	"YDR139C"	0.697367115425358
"624"	"YDR142C"	-0.00684065240614965
"625"	"YDR143C"	0.0258483904690928
"626"	"YDR144C"	-0.201709851863572
"627"	"YDR146C"	0.676461233168865
"628"	"YDR147W"	0.0401435327424417
"629"	"YDR148C"	-0.18893397240131
"630"	"YDR149C"	0.205233293245814
"631"	"YDR150W"	-0.306318651666488
"632"	"YDR153C"	0.104533012332248
"633"	"YDR154C"	0.0857532009837855
"634"	"YDR155C"	-0.124230613485673
"635"	"YDR156W"	0.621608204952974
"636"	"YDR157W"	-0.251948033034555
"637"	"YDR158W"	0.204929083058209
"638"	"YDR159W"	0.759707166400597
"639"	"YDR161W"	-0.08496101372822
"640"	"YDR162C"	-0.145967240409736
"641"	"YDR163W"	-0.100050368467453
"642"	"YDR165W"	-0.0548288976029263
"643"	"YDR169C"	0.0598805149891956
"644"	"YDR171W"	-0.10839458856981
"645"	"YDR174W"	0.95948685036929
"646"	"YDR181C"	-0.116289475765314
"647"	"YDR184C"	0.0326422410199816
"648"	"YDR185C"	0.0185540019451801
"649"	"YDR186C"	0.0168538494485641
"650"	"YDR191W"	-0.0278640706441973
"651"	"YDR192C"	-0.147403621832099
"652"	"YDR193W"	0.725296758455835
"653"	"YDR198C"	0.195973230346459
"654"	"YDR202C"	0.756045617804682
"655"	"YDR203W"	-0.0688185823051919
"656"	"YDR205W"	0.0838558964112722
"657"	"YDR206W"	0.554438722330091
"658"	"YDR207C"	0.563058669849362
"659"	"YDR209C"	-0.0360629130200108
"660"	"YDR210W"	-0.0582125940795824
"661"	"YDR213W"	-0.64581038575177
"662"	"YDR214W"	0.180852171211863
"663"	"YDR215C"	-0.187855356531369
"664"	"YDR216W"	1.17987251477963
