"gene"	"CaffeicAcid"
"352"	"YCL063W"	-0.290304533422864
"353"	"YCL064C"	-0.0968483291480756
"354"	"YCL069W"	-0.199626714735481
"355"	"YCL074W"	0.0992132962047231
"356"	"YCL075W"	0.121406289063445
"357"	"YCL076W"	-0.0407738787611539
"358"	"YCR001W"	-0.213378405821199
"359"	"YCR005C"	-0.0923926280559997
"360"	"YCR006C"	-0.991341708271212
"361"	"YCR007C"	0.212197555453018
"362"	"YCR008W"	0.0812865116029323
"363"	"YCR009C"	0.150422816187691
"364"	"YCR010C"	-0.549898523292615
"365"	"YCR011C"	0.170308037738265
"366"	"YCR014C"	-0.0893810586673025
"367"	"YCR015C"	-0.165197769979507
"368"	"YCR016W"	0.339468853602476
"369"	"YCR017C"	-0.497961002706948
"370"	"YCR019W"	-0.076823907915432
"371"	"YCR020C-A"	-1.08276076222179
"372"	"YCR020C"	-0.292452181422877
"373"	"YCR021C"	0.0845797567984299
"374"	"YCR022C"	-0.074138684629741
"375"	"YCR023C"	-0.267055554050448
"376"	"YCR024C-A"	-0.246756637431231
"377"	"YCR025C"	-0.165860123908124
"378"	"YCR027C"	-0.213615655985761
"379"	"YCR028C-A"	0.0512252500770856
"380"	"YCR030C"	-0.15416955893608
"381"	"YCR031C"	-0.0407767731211224
"382"	"YCR032W"	-0.0761940253491343
"383"	"YCR033W"	-0.091135940241391
"384"	"YCR034W"	-0.238826659479711
"385"	"YCR036W"	-0.0245752781467193
"386"	"YCR037C"	0.0436547148791914
"387"	"YCR043C"	-0.17910918761951
"388"	"YCR044C"	-0.615298048388285
"389"	"YCR045C"	-0.095080954916232
"390"	"YCR048W"	0.221400516236882
"391"	"YCR049C"	-0.231953111275737
"392"	"YCR050C"	-0.168900093620938
"393"	"YCR051W"	0.0130191618852492
"394"	"YCR053W"	-0.959079059086787
"395"	"YCR059C"	0.0114986495840625
"396"	"YCR060W"	0.277139870212677
"397"	"YCR061W"	-0.170072464776726
"398"	"YCR062W"	0.10388858039
"399"	"YCR065W"	-0.138278284281227
"400"	"YCR068W"	0.0661031954619407
"401"	"YCR069W"	-0.136531396146554
"402"	"YCR071C"	-0.00716751860758317
"403"	"YCR073C"	0.129275275020787
"404"	"YCR073W-A"	-0.601986658373893
"405"	"YCR075C"	-0.15834089827282
"406"	"YCR076C"	-0.146367013721455
"407"	"YCR077C"	-0.226236808354045
"408"	"YCR079W"	-0.347809186329974
"409"	"YCR081W"	-0.495174189542552
"410"	"YCR082W"	-0.298095086918016
"411"	"YCR085W"	-0.101957363357358
"412"	"YCR086W"	-0.744582652980561
"413"	"YCR087C-A"	-0.288909721561627
"414"	"YCR087W"	-0.195180400047365
"415"	"YCR088W"	-0.405316013318192
"416"	"YCR090C"	-0.106472991705845
"417"	"YCR092C"	-0.247629886582179
"418"	"YCR095C"	-0.413363883076711
"419"	"YCR098C"	-0.337182012741674
"420"	"YCR099C"	0.0865738373339661
"421"	"YCR100C"	-0.128937277550333
"422"	"YCR101C"	0.0410003022464845
"423"	"YCR102C"	0.0458346239220846
"424"	"YCR102W-A"	0.156371500257516
"425"	"YCR105W"	-0.143220604007196
"426"	"YCR106W"	-0.140507262228358
"427"	"YCR107W"	-0.111767692789261
"428"	"YDL001W"	0.156172629082213
"429"	"YDL002C"	0.246985401135715
"430"	"YDL006W"	0.111747178633146
"431"	"YDL010W"	-0.239952578002048
"432"	"YDL011C"	0.331000266808179
"433"	"YDL012C"	0.0649207763598519
"434"	"YDL013W"	0.0496937266689698
"435"	"YDL018C"	0.211993293437943
"436"	"YDL019C"	0.0874482441446232
"437"	"YDL020C"	-0.114327426505264
"438"	"YDL024C"	0.0708922174782916
"439"	"YDL025C"	-0.141462329520498
"440"	"YDL026W"	0.103412041818309
"441"	"YDL035C"	0.00851835681065495
"442"	"YDL036C"	-0.342491119575555
"443"	"YDL037C"	-0.0908593740213996
"444"	"YDL038C"	-0.366886016752707
"445"	"YDL039C"	0.0632222581118866
"446"	"YDL048C"	-0.0566562136803632
"447"	"YDL050C"	-0.25237786900926
"448"	"YDL051W"	0.0445786865725359
"449"	"YDL052C"	-0.0877041982219035
"450"	"YDL054C"	0.00857589193025001
"451"	"YDL056W"	-0.590124644477094
"452"	"YDL059C"	-0.0242670077651807
"453"	"YDL063C"	-0.0802452986882373
"454"	"YDL066W"	0.242822293729135
"455"	"YDL070W"	0.101016872326775
"456"	"YDL071C"	0.00494960980189323
"457"	"YDL074C"	-0.415443504177886
"458"	"YDL076C"	0.160471224163295
"459"	"YDL077C"	-0.164337954951329
"460"	"YDL078C"	0.115499945667027
"461"	"YDL079C"	-0.0589072392254645
"462"	"YDL080C"	-0.679032676260483
"463"	"YDL081C"	-0.245082823034358
"464"	"YDL082W"	0.0628124512221174
"465"	"YDL083C"	0.417122284813342
"466"	"YDL085W"	-0.0183733976098002
"467"	"YDL086W"	-0.0376444067791059
"468"	"YDL088C"	0.0773097034597388
"469"	"YDL089W"	0.285857026715715
"470"	"YDL091C"	-0.12073673309614
"471"	"YDL093W"	-0.177045826533986
"472"	"YDL094C"	-0.120374051715044
"473"	"YDL096C"	-1.26934073463253
"474"	"YDL100C"	-3.81042276626401
"475"	"YDL104C"	-1.05833562102869
"476"	"YDL106C"	-0.0973859450173524
"477"	"YDL109C"	0.123742726843494
"478"	"YDL110C"	0.147058591300707
"479"	"YDL112W"	-0.186921972766485
"480"	"YDL114W"	0.150485257592437
"481"	"YDL117W"	-2.27119940012783
"482"	"YDL119C"	-0.484417581586714
"483"	"YDL121C"	-0.0109901723131866
"484"	"YDL122W"	-0.196274040776996
"485"	"YDL123W"	0.149098784690102
"486"	"YDL127W"	-1.91349535984121
"487"	"YDL128W"	-1.59852944917672
"488"	"YDL130W-A"	0.24110748266049
"489"	"YDL130W"	-0.400318714572555
"490"	"YDL131W"	-1.15548602216305
"491"	"YDL133C-A"	-0.0491220617153246
"492"	"YDL134C"	0.170740790108721
"493"	"YDL136W"	-0.00971103183112843
"494"	"YDL137W"	-2.90019847962688
"495"	"YDL142C"	-0.238515192252223
"496"	"YDL144C"	-0.0870046216294512
"497"	"YDL149W"	0.126620639607141
"498"	"YDL154W"	-0.0917209145332243
"499"	"YDL155W"	-0.0592611869593118
"500"	"YDL156W"	-0.0580356824190882
"501"	"YDL161W"	-0.0375701434079794
"502"	"YDL162C"	-0.00989419798059105
"503"	"YDL168W"	-0.0125328138050962
"504"	"YDL169C"	0.00617320891311293
"505"	"YDL170W"	0.0375813828770739
"506"	"YDL171C"	0.0373517660384231
"507"	"YDL172C"	-0.179622234436297
"508"	"YDL173W"	0.267625833983643
"509"	"YDL174C"	0.16042855477523
"510"	"YDL175C"	-1.08308978357664
"511"	"YDL177C"	0.0779463261576599
"512"	"YDL178W"	0.00910371883022487
"513"	"YDL180W"	-0.149826660376821
"514"	"YDL182W"	-0.0417355849564077
"515"	"YDL184C"	0.153689424571406
"516"	"YDL186W"	-0.18026168818711
"517"	"YDL187C"	-0.0329526839150531
"518"	"YDL188C"	0.144533138040526
"519"	"YDL189W"	-0.045575079390642
"520"	"YDL190C"	-3.11251476896282
"521"	"YDL191W"	0.225650456697068
"522"	"YDL194W"	-1.06820242304268
"523"	"YDL197C"	-1.39494003601423
"524"	"YDL199C"	-0.271176503618608
"525"	"YDL200C"	0.0150593784408516
"526"	"YDL201W"	0.00384748515797847
"527"	"YDL203C"	-0.108559082365209
"528"	"YDL204W"	-0.10849500869033
"529"	"YDL210W"	-0.0963270306759083
"530"	"YDL211C"	-0.0464478703896019
"531"	"YDL215C"	-0.2515513140576
"532"	"YDL218W"	-0.0943637474771005
"533"	"YDL219W"	-0.362754254361167
"534"	"YDL223C"	-0.781185835411963
"535"	"YDL224C"	-0.0181867807312746
"536"	"YDL226C"	-0.345937739300304
"537"	"YDL227C"	-0.479946034601894
"538"	"YDL229W"	-0.137235228229622
"539"	"YDL230W"	-0.219029681615702
"540"	"YDL231C"	-0.0424024884770398
"541"	"YDL233W"	-0.0744811445790894
"542"	"YDL236W"	-0.247166189284959
"543"	"YDL237W"	-2.75845486995215
"544"	"YDL239C"	-0.02453686369662
"545"	"YDL240W"	-0.290890989301946
"546"	"YDL241W"	0.203693725189737
"547"	"YDL242W"	-0.134414163557504
"548"	"YDL243C"	-0.298600457213817
"549"	"YDR001C"	0.13226227134125
"550"	"YDR004W"	0.173649057264189
"551"	"YDR005C"	0.163573743592331
"552"	"YDR006C"	-0.0831429490811634
"553"	"YDR007W"	0.272593218641339
"554"	"YDR009W"	0.120269135495746
"555"	"YDR010C"	-0.0446239201394968
"556"	"YDR011W"	-0.415127454993365
"557"	"YDR014W"	-0.00889743184221026
"558"	"YDR015C"	-0.150501923678345
"559"	"YDR018C"	0.363121914027944
"560"	"YDR019C"	0.10405994982883
"561"	"YDR020C"	0.47557465977548
"562"	"YDR022C"	0.0415181801293589
"563"	"YDR024W"	0.570306962900484
"564"	"YDR025W"	0.104389953759169
"565"	"YDR026C"	0.133132154018917
"566"	"YDR030C"	0.107917080468087
"567"	"YDR033W"	-0.0189878975080291
"568"	"YDR035W"	-0.189146871483493
"569"	"YDR036C"	-0.00553442782916193
"570"	"YDR046C"	0.167844154731416
"571"	"YDR048C"	0.00395840816445753
"572"	"YDR049W"	0.279649696540213
"573"	"YDR051C"	0.0055359055057678
"574"	"YDR055W"	-0.564568273656141
"575"	"YDR057W"	-0.297420120979417
"576"	"YDR058C"	0.283685200168824
"577"	"YDR061W"	-0.028453115732939
"578"	"YDR063W"	-1.66385251012631
"579"	"YDR066C"	-0.0329183243937491
"580"	"YDR067C"	0.185376499421737
"581"	"YDR068W"	-0.0124010855342114
"582"	"YDR070C"	-0.43650295754935
"583"	"YDR071C"	-0.0783998054079358
"584"	"YDR072C"	0.0573667689211088
"585"	"YDR073W"	0.0860993291245986
"586"	"YDR074W"	-0.511069182986811
"587"	"YDR076W"	0.140059333143424
"588"	"YDR080W"	-2.2788705482766
"589"	"YDR083W"	-0.29409080686837
"590"	"YDR085C"	0.010350183699332
"591"	"YDR089W"	0.0166864101030878
"592"	"YDR090C"	-0.0159048491637854
"593"	"YDR092W"	-1.46212383139778
"594"	"YDR093W"	-0.0230995508629521
"595"	"YDR094W"	-1.11915115821065
"596"	"YDR095C"	0.0378515725496282
"597"	"YDR097C"	-0.15476306474243
"598"	"YDR098C"	-0.143162269789342
"599"	"YDR099W"	-0.224260923434012
"600"	"YDR100W"	-0.712144853128136
"601"	"YDR101C"	-0.167621354316797
"602"	"YDR102C"	0.0140991918287373
"603"	"YDR104C"	0.0239836354236167
"604"	"YDR108W"	-0.538090422810528
"605"	"YDR109C"	0.182310015050953
"606"	"YDR110W"	0.12842132935883
"607"	"YDR111C"	-0.0921778210199312
"608"	"YDR112W"	-0.105975376300358
"609"	"YDR116C"	0.119381235457366
"610"	"YDR117C"	-1.15228179771517
"611"	"YDR119W"	-0.282507978408153
"612"	"YDR120C"	-0.428682065140557
"613"	"YDR121W"	0.0597513909889849
"614"	"YDR122W"	-0.0679068439102994
"615"	"YDR123C"	-0.726816627659357
"616"	"YDR124W"	-0.179549711673922
"617"	"YDR125C"	-1.07283627592721
"618"	"YDR126W"	-0.0745550321662398
"619"	"YDR127W"	-2.22483488968393
"620"	"YDR128W"	0.189997670224027
"621"	"YDR130C"	-0.0357018800053171
"622"	"YDR131C"	-0.515152497761329
"623"	"YDR132C"	-0.393313380919269
"624"	"YDR133C"	-0.521334657417823
"625"	"YDR134C"	0.13393245308646
"626"	"YDR135C"	-0.136709931990569
"627"	"YDR139C"	-0.562549539505334
"628"	"YDR142C"	0.100517882999394
"629"	"YDR143C"	-0.417567384440184
"630"	"YDR144C"	-0.203119344977041
"631"	"YDR146C"	-0.0928535815083424
"632"	"YDR147W"	-0.250705792993808
"633"	"YDR148C"	-0.208030406122829
"634"	"YDR149C"	-0.411294364294155
"635"	"YDR150W"	-0.293259018723224
"636"	"YDR153C"	0.210980918240085
"637"	"YDR154C"	-0.116934010822521
"638"	"YDR155C"	-0.239898558368317
"639"	"YDR156W"	-0.144939329940616
"640"	"YDR157W"	-0.724904099103109
"641"	"YDR158W"	-0.39697596146238
"642"	"YDR159W"	-1.23132371354023
"643"	"YDR161W"	-0.0884287675489376
"644"	"YDR162C"	-0.528559465828398
"645"	"YDR163W"	0.0744570038322424
"646"	"YDR165W"	-0.1883635394786
"647"	"YDR169C"	-0.078411460715397
"648"	"YDR171W"	-0.280162392606623
"649"	"YDR174W"	0.514484718466159
"650"	"YDR181C"	-0.166235987584162
"651"	"YDR184C"	0.0786360781626772
"652"	"YDR185C"	-0.198107862510279
"653"	"YDR186C"	-0.0354848408119429
"654"	"YDR191W"	-0.028247623212475
"655"	"YDR192C"	-0.286021729923696
"656"	"YDR193W"	-0.967815387309279
"657"	"YDR198C"	-0.141469162923056
"658"	"YDR202C"	-0.0395045573295874
"659"	"YDR203W"	0.0256015360601852
"660"	"YDR205W"	0.35592381839417
"661"	"YDR206W"	-0.276205165743051
"662"	"YDR207C"	-0.557013878829942
"663"	"YDR209C"	-0.0676917386680445
