"gene"	"GVL"
"322"	"YCL006C"	-0.0493352662833011
"323"	"YCL010C"	-0.887479678912548
"324"	"YCL011C"	-0.519751786784228
"325"	"YCL012W"	-0.352807901953769
"326"	"YCL013W"	-0.611701261246782
"327"	"YCL014W"	-0.605548396326607
"328"	"YCL016C"	-1.26208839933826
"329"	"YCL022C"	0.789470491116839
"330"	"YCL023C"	0.194586447548861
"331"	"YCL024W"	-0.188187413598199
"332"	"YCL025C"	-0.145011852762898
"333"	"YCL026C-A"	0.137963365457599
"334"	"YCL026C"	0.196434252886412
"335"	"YCL027W"	-0.272957382577877
"336"	"YCL028W"	0.235442972722811
"337"	"YCL029C"	-0.836373943926695
"338"	"YCL034W"	1.2381666106687
"339"	"YCL035C"	-0.0851222355678896
"340"	"YCL038C"	-0.276677583139689
"341"	"YCL039W"	-0.47900307536615
"342"	"YCL042W"	1.95844996125091
"343"	"YCL044C"	1.94691182152719
"344"	"YCL046W"	-0.569149046173577
"345"	"YCL048W"	-0.111098140706836
"346"	"YCL049C"	-0.118894948309689
"347"	"YCL050C"	0.272545681342351
"348"	"YCL051W"	-0.0552967129823982
"349"	"YCL055W"	0.494571867234519
"350"	"YCL057W"	-0.0988047316444779
"351"	"YCL061C"	-0.318437774819104
"352"	"YCL062W"	-0.074046300439684
"353"	"YCL063W"	0.400752575592002
"354"	"YCL064C"	-0.438841853338829
"355"	"YCL069W"	-1.0532857581318
"356"	"YCL074W"	-0.0808180867781043
"357"	"YCL075W"	0.883126952258857
"358"	"YCL076W"	0.315632653343274
"359"	"YCR001W"	0.227238321835869
"360"	"YCR005C"	-0.24748074261363
"361"	"YCR006C"	0.384386219224169
"362"	"YCR007C"	0.26176361846719
"363"	"YCR008W"	0.595213255311647
"364"	"YCR009C"	-0.0310373040929881
"365"	"YCR010C"	-0.23969463170903
"366"	"YCR011C"	-0.419902061172032
"367"	"YCR014C"	-0.350562882772866
"368"	"YCR015C"	-0.337890494940003
"369"	"YCR016W"	-0.298101993140945
"370"	"YCR017C"	-0.00990440710712573
"371"	"YCR019W"	-0.185713307514656
"372"	"YCR020C-A"	0.513914377971672
"373"	"YCR020C"	-0.114731101104106
"374"	"YCR021C"	-0.577495199412307
"375"	"YCR022C"	0.261523057152292
"376"	"YCR023C"	-0.521900043902392
"377"	"YCR024C-A"	-0.518864562129491
"378"	"YCR025C"	0.145247508513163
"379"	"YCR027C"	-0.830824754050279
"380"	"YCR028C-A"	-0.464543911810998
"381"	"YCR030C"	-0.0182774391611148
"382"	"YCR031C"	0.538590683292433
"383"	"YCR032W"	0.0467111606968428
"384"	"YCR033W"	0.481326427551629
"385"	"YCR034W"	-0.293157593116396
"386"	"YCR036W"	-0.467101680465531
"387"	"YCR037C"	0.206145306849628
"388"	"YCR043C"	-0.295703867914998
"389"	"YCR044C"	-0.696829157698773
"390"	"YCR045C"	-0.296275071811654
"391"	"YCR048W"	0.697281214440052
"392"	"YCR049C"	-0.255405671143886
"393"	"YCR050C"	-0.324977724599973
"394"	"YCR051W"	-0.287388029209932
"395"	"YCR053W"	-1.59061327408167
"396"	"YCR059C"	-1.18368985349131
"397"	"YCR060W"	-0.164183119153794
"398"	"YCR061W"	0.759254657131863
"399"	"YCR062W"	-0.496942522054104
"400"	"YCR065W"	-0.230787663008434
"401"	"YCR068W"	-0.0326749976985887
"402"	"YCR069W"	-0.241399757961035
"403"	"YCR071C"	-0.101682168598121
"404"	"YCR073C"	0.885805275316532
"405"	"YCR073W-A"	0.210876224304579
"406"	"YCR075C"	-0.300999568117343
"407"	"YCR076C"	-2.95339123031896
"408"	"YCR077C"	-1.78295398480179
"409"	"YCR079W"	-0.00213641379755702
"410"	"YCR081W"	-0.0431100643387672
"411"	"YCR082W"	-0.336270741240463
"412"	"YCR085W"	-0.160520064953322
"413"	"YCR086W"	-2.57946162857115
"414"	"YCR087C-A"	-1.10930777297751
"415"	"YCR087W"	-0.53299343433699
"416"	"YCR088W"	-4.10391226823714
"417"	"YCR090C"	-0.222584151067777
"418"	"YCR092C"	-0.0723034227818635
"419"	"YCR095C"	-0.897000542039794
"420"	"YCR098C"	-0.209786504151587
"421"	"YCR099C"	0.0736488980301365
"422"	"YCR100C"	0.0649832117930169
"423"	"YCR101C"	-0.168351444708405
"424"	"YCR102C"	-0.207531025805805
"425"	"YCR102W-A"	0.804591095041345
"426"	"YCR105W"	-0.337799897863826
"427"	"YCR106W"	-0.270189464308293
"428"	"YCR107W"	-0.20962498815209
"429"	"YDL001W"	-0.411197235636902
"430"	"YDL002C"	-0.545107212127724
"431"	"YDL006W"	-1.69343359506245
"432"	"YDL010W"	-0.249991520978556
"433"	"YDL011C"	-0.364200846734327
"434"	"YDL012C"	-0.250367499585123
"435"	"YDL013W"	-1.00785092621695
"436"	"YDL018C"	-0.780290042435693
"437"	"YDL019C"	0.492722784315712
"438"	"YDL020C"	-0.570724907318632
"439"	"YDL024C"	0.610475270479602
"440"	"YDL025C"	-0.100817316526875
"441"	"YDL026W"	-0.429518922626174
"442"	"YDL035C"	0.232067780916833
"443"	"YDL036C"	-0.339857904105975
"444"	"YDL037C"	-0.159023892887116
"445"	"YDL038C"	0.120820071139201
"446"	"YDL039C"	-0.27441555037388
"447"	"YDL048C"	-0.21301961187301
"448"	"YDL050C"	-1.33389636793008
"449"	"YDL051W"	-0.227197173553073
"450"	"YDL052C"	-1.07031163765515
"451"	"YDL054C"	0.52147353237701
"452"	"YDL056W"	-0.685418825034662
"453"	"YDL059C"	-0.12328584607112
"454"	"YDL063C"	0.387164185095118
"455"	"YDL066W"	0.265707341408711
"456"	"YDL070W"	0.759960517525881
"457"	"YDL071C"	-0.191971814844337
"458"	"YDL074C"	-2.24159794532354
"459"	"YDL076C"	-0.172428308257503
"460"	"YDL077C"	-1.10268601285842
"461"	"YDL078C"	-0.824306150380518
"462"	"YDL079C"	-0.290565017516577
"463"	"YDL080C"	0.702283630752813
"464"	"YDL081C"	0.249797604703118
"465"	"YDL082W"	1.36145805604656
"466"	"YDL083C"	1.87353802926717
"467"	"YDL085W"	-0.164468934693092
"468"	"YDL086W"	-0.137420634919509
"469"	"YDL088C"	0.235686126948111
"470"	"YDL089W"	0.246945508321913
"471"	"YDL091C"	-0.751183067010292
"472"	"YDL093W"	-0.165879943994227
"473"	"YDL094C"	0.594672754171698
"474"	"YDL096C"	-0.489706205583591
"475"	"YDL100C"	1.05095443883723
"476"	"YDL106C"	0.143031497387824
"477"	"YDL109C"	0.0340826632567304
"478"	"YDL110C"	0.630114994964638
"479"	"YDL112W"	0.588359713938326
"480"	"YDL114W"	-0.143338471049712
"481"	"YDL119C"	-2.32745667955062
"482"	"YDL121C"	-0.226779116310881
"483"	"YDL122W"	-0.299029686660469
"484"	"YDL123W"	-0.214248522669595
"485"	"YDL127W"	0.726184309755092
"486"	"YDL128W"	1.23318470297941
"487"	"YDL130W-A"	0.816802049262355
"488"	"YDL130W"	0.89937569921677
"489"	"YDL133C-A"	0.653651501048418
"490"	"YDL134C"	-0.571817407553857
"491"	"YDL136W"	0.555418872981373
"492"	"YDL137W"	0.475361573450404
"493"	"YDL142C"	-0.300253286337663
"494"	"YDL144C"	0.960954744691575
"495"	"YDL149W"	0.671578825240433
