"gene"	"HMF5"
"654"	"YDR202C"	-0.102887060740623
"655"	"YDR203W"	-0.0389164981039618
"656"	"YDR205W"	-0.103851143988775
"657"	"YDR206W"	1.56566849445835
"658"	"YDR207C"	0.0270370277806158
"659"	"YDR209C"	-0.176996750615527
"660"	"YDR210W"	-0.364515497774344
"661"	"YDR213W"	0.307002847517083
"662"	"YDR214W"	0.047206493963785
"663"	"YDR215C"	-0.280508943839156
"664"	"YDR216W"	0.156050178635909
"665"	"YDR217C"	0.138885033222633
"666"	"YDR218C"	-0.270790945633294
"667"	"YDR219C"	-0.0390810946550106
"668"	"YDR220C"	0.0920475969855113
