"gene"	"Isobutanol"
"436"	"YDL019C"	-0.588468625443898
"437"	"YDL020C"	-0.545688019292773
"438"	"YDL024C"	0.115114875683111
"439"	"YDL025C"	0.230896363383729
"440"	"YDL026W"	-0.109307663162062
"441"	"YDL035C"	-0.328019020827341
"442"	"YDL036C"	0.241676332351938
"443"	"YDL037C"	0.0889165818735502
"444"	"YDL038C"	0.030830803715129
"445"	"YDL039C"	-0.0400277143054372
"446"	"YDL048C"	0.387669559669943
"447"	"YDL050C"	-0.0112215702270727
"448"	"YDL051W"	-0.049814812882802
"449"	"YDL052C"	-0.0785883539067407
"450"	"YDL054C"	0.138227167384912
"451"	"YDL056W"	0.146370981048801
"452"	"YDL059C"	-0.0342163154024474
"453"	"YDL063C"	0.264830650169706
"454"	"YDL066W"	-0.450253373343795
"455"	"YDL070W"	-0.0680261398706783
"456"	"YDL071C"	0.128772498680446
"457"	"YDL074C"	-2.09852777891234
"458"	"YDL076C"	0.188928016222935
"459"	"YDL077C"	-0.268170629377429
"460"	"YDL078C"	-0.143832354724877
"461"	"YDL079C"	0.178041893021016
"462"	"YDL080C"	0.155531626681695
"463"	"YDL081C"	0.613542342845881
"464"	"YDL082W"	0.595057934559714
"465"	"YDL083C"	0.858409713135369
"466"	"YDL085W"	-0.317589258045453
"467"	"YDL086W"	-0.0827628153935208
"468"	"YDL088C"	0.128605825782759
"469"	"YDL089W"	-0.298962871883683
"470"	"YDL091C"	-0.517762639342276
"471"	"YDL093W"	0.0991582435009907
"472"	"YDL094C"	-0.121594942566536
"473"	"YDL096C"	0.205872835224075
"474"	"YDL100C"	-0.977352625249857
"475"	"YDL106C"	0.377179378458265
"476"	"YDL109C"	0.221465608657333
"477"	"YDL110C"	0.150522096416437
"478"	"YDL112W"	0.0651443763205212
"479"	"YDL114W"	-0.842370111498235
"480"	"YDL119C"	-1.11699831553221
"481"	"YDL121C"	0.224226169878898
"482"	"YDL122W"	0.194149600839397
"483"	"YDL123W"	0.201097587164842
"484"	"YDL127W"	-0.338951597634998
"485"	"YDL128W"	0.150644783233675
"486"	"YDL130W-A"	-0.00304542616608825
"487"	"YDL130W"	-0.0941304654833502
"488"	"YDL133C-A"	-0.201383648832723
"489"	"YDL134C"	0.00903596362166211
"490"	"YDL136W"	0.376521750246797
"491"	"YDL137W"	-2.61794140243005
"492"	"YDL142C"	-0.0996703277966341
"493"	"YDL144C"	-0.0442660375034828
"494"	"YDL149W"	0.279752248252017
"495"	"YDL154W"	0.481435011710261
"496"	"YDL155W"	-0.458871242736628
"497"	"YDL156W"	0.402541967928052
"498"	"YDL161W"	0.0241446719266933
"499"	"YDL162C"	-1.52240495564063
"500"	"YDL168W"	0.12728957194072
"501"	"YDL169C"	0.135502568188556
"502"	"YDL170W"	-0.738550063493969
"503"	"YDL171C"	-0.207767730155592
"504"	"YDL172C"	-0.440091205198231
"505"	"YDL173W"	-0.140797487890259
"506"	"YDL174C"	0.153358857256685
"507"	"YDL177C"	-0.0151620097115137
"508"	"YDL178W"	-0.183654688586984
"509"	"YDL180W"	-0.32611695514114
"510"	"YDL182W"	0.171229849687958
"511"	"YDL184C"	0.116699103784849
"512"	"YDL186W"	-0.0252690778994594
"513"	"YDL187C"	0.423076030337638
"514"	"YDL188C"	0.0744552675565603
"515"	"YDL189W"	0.185091620975247
"516"	"YDL190C"	-1.59540896189326
"517"	"YDL191W"	-0.0289141131933886
"518"	"YDL194W"	1.56720469451837
"519"	"YDL197C"	1.18618620918403
"520"	"YDL199C"	0.282443879680537
"521"	"YDL200C"	0.0540803014243874
"522"	"YDL201W"	0.207471764401076
"523"	"YDL203C"	0.348494137920795
"524"	"YDL204W"	-0.0395759947112222
"525"	"YDL210W"	0.103647024253986
"526"	"YDL211C"	0.101514432606915
"527"	"YDL215C"	-0.409946201971914
"528"	"YDL218W"	-0.278127236650423
"529"	"YDL219W"	-0.9464803308214
"530"	"YDL223C"	-0.917256293667129
"531"	"YDL224C"	-0.57040878338278
"532"	"YDL226C"	0.332463721812247
"533"	"YDL227C"	0.248897474253372
"534"	"YDL229W"	0.505121579413965
"535"	"YDL230W"	0.277323136519865
"536"	"YDL231C"	0.080317857498574
"537"	"YDL233W"	0.323226129163474
"538"	"YDL236W"	0.251928551869199
"539"	"YDL237W"	-1.95943949128031
"540"	"YDL239C"	0.00968089850312272
"541"	"YDL240W"	-0.415421062293518
"542"	"YDL241W"	0.145213073732846
"543"	"YDL242W"	0.186001342562993
"544"	"YDL243C"	0.380958049531176
"545"	"YDR001C"	-0.688551182171922
"546"	"YDR004W"	0.171258052946587
"547"	"YDR005C"	-0.951084082173163
"548"	"YDR006C"	-0.34680299919025
"549"	"YDR007W"	0.2601034978627
"550"	"YDR009W"	-0.0963232962465211
"551"	"YDR010C"	-0.0642074829015007
"552"	"YDR011W"	0.0939081108557593
"553"	"YDR014W"	-0.382651329351268
"554"	"YDR015C"	-0.139461426043592
"555"	"YDR018C"	-0.195571112699758
"556"	"YDR019C"	0.219087372688522
"557"	"YDR020C"	-0.191817263428742
"558"	"YDR022C"	-0.0114494985242792
"559"	"YDR024W"	0.0402228501541649
"560"	"YDR025W"	-0.600272133675954
"561"	"YDR026C"	-0.124741547124158
"562"	"YDR030C"	-0.0194426551606371
"563"	"YDR033W"	-1.45940635757871
"564"	"YDR035W"	-0.37892717911991
"565"	"YDR036C"	-0.378818143548714
"566"	"YDR046C"	-0.208188086825583
"567"	"YDR048C"	0.00203688573209788
"568"	"YDR049W"	-0.197377675262233
"569"	"YDR051C"	0.0582959891179128
"570"	"YDR055W"	-0.865280327655208
"571"	"YDR057W"	-0.720219131965787
"572"	"YDR058C"	-3.61491137226192
"573"	"YDR061W"	-0.199075552622777
"574"	"YDR063W"	-1.73249197996512
"575"	"YDR066C"	0.024107227186382
"576"	"YDR067C"	-0.20026273456642
"577"	"YDR068W"	-0.184276861191497
"578"	"YDR070C"	-0.878719380844584
"579"	"YDR071C"	-0.290127061741627
"580"	"YDR072C"	-0.124394008289403
"581"	"YDR073W"	-0.409694214276214
