"gene"	"EMIMCl"
"320"	"YCL001W-A"	0.900621659869364
"321"	"YCL001W"	-0.181871519365461
"322"	"YCL006C"	-0.268076015100482
"323"	"YCL010C"	0.401997445862586
"324"	"YCL011C"	0.0232713195576943
"325"	"YCL012W"	0.0997513367452604
"326"	"YCL013W"	-0.0180757043326666
"327"	"YCL014W"	-0.357548958751002
"328"	"YCL016C"	-1.38442753268288
"329"	"YCL022C"	-0.432725588652785
"330"	"YCL023C"	-0.407019020171099
"331"	"YCL024W"	-0.557465879327977
"332"	"YCL025C"	0.216450062251484
"333"	"YCL026C-A"	0.0286298672212084
"334"	"YCL026C"	0.01672496155562
"335"	"YCL027W"	-0.0734225129617189
"336"	"YCL028W"	-0.517856179834659
"337"	"YCL029C"	0.488130249193933
"338"	"YCL034W"	1.90042660992873
"339"	"YCL035C"	0.0846092300944736
"340"	"YCL038C"	-0.463168094828024
"341"	"YCL039W"	-0.0280147553994951
"342"	"YCL042W"	1.76223621275354
"343"	"YCL046W"	0.0372032207776291
"344"	"YCL048W"	0.142532897055187
"345"	"YCL049C"	-0.0916479914589174
"346"	"YCL050C"	-0.196393230923849
"347"	"YCL051W"	0.0669560308015776
"348"	"YCL055W"	-0.227999871278952
"349"	"YCL057W"	-0.0541663805853594
"350"	"YCL061C"	0.284369972993377
"351"	"YCL062W"	0.465463352325115
"352"	"YCL063W"	0.965144583642533
"353"	"YCL064C"	-0.0571571463420914
"354"	"YCL069W"	-0.140022924959947
"355"	"YCL074W"	-0.823195792700165
"356"	"YCL075W"	-0.623282451955408
"357"	"YCL076W"	-0.160895918314607
"358"	"YCR001W"	0.122384772709924
"359"	"YCR005C"	0.183291150451825
"360"	"YCR006C"	0.198324184447018
"361"	"YCR007C"	-0.338844061061733
"362"	"YCR008W"	-1.64052970034319
"363"	"YCR009C"	0.559394811839186
"364"	"YCR010C"	0.656632958629681
"365"	"YCR011C"	0.333131853062281
"366"	"YCR014C"	-0.235335020672134
"367"	"YCR015C"	-0.376784333357888
"368"	"YCR016W"	0.273843251139383
"369"	"YCR017C"	0.284848080087485
"370"	"YCR019W"	0.0582142859613177
"371"	"YCR020C-A"	1.12789282229367
"372"	"YCR020C"	0.0838327197143992
"373"	"YCR021C"	-0.142318503103366
"374"	"YCR022C"	-0.538444498574764
"375"	"YCR023C"	0.0588554699556272
"376"	"YCR024C-A"	0.17305644506856
"377"	"YCR025C"	-0.308452611854693
"378"	"YCR027C"	0.133307733658472
