Inhibitor	Direction	Deletion
334	24Dimethylimidazole	up	YGR241C
335	24Dimethylimidazole	up	YKL027W
336	24Dimethylimidazole	up	YLL045C
337	24Dimethylimidazole	up	YJR137C
338	24Dimethylimidazole	up	YJL084C
339	26Dimethylpyrazine	up	YJL065C
340	26Dimethylpyrazine	up	YOL138C
341	26Dimethylpyrazine	up	YOR279C
342	26Dimethylpyrazine	up	YKR092C
343	26Dimethylpyrazine	up	YCR086W
344	26Dimethylpyrazine	up	YJR087W
345	26Dimethylpyrazine	up	YDR156W
346	26Dimethylpyrazine	up	YDL142C
347	26Dimethylpyrazine	up	YIR027C
348	26Dimethylpyrazine	up	YJR094W-A
349	26Dimethylpyrazine	up	YBL027W
350	26Dimethylpyrazine	up	YBL055C
351	26Dimethylpyrazine	up	YKL162C
352	26Dimethylpyrazine	up	YDR530C
353	26Dimethylpyrazine	up	YJR150C
354	26Dimethylpyrazine	up	YDL083C
355	26Dimethylpyrazine	up	YGL164C
356	26Dimethylpyrazine	up	YPL009C
357	26Dimethylpyrazine	up	YOR367W
358	26Dimethylpyrazine	up	YOL030W
359	26Dimethylpyrazine	up	YMR163C
360	26Dimethylpyrazine	up	YDL035C
361	26Dimethylpyrazine	up	YHR081W
362	26Dimethylpyrazine	up	YBR290W
363	26Dimethylpyrazine	up	YKR041W
364	26Dimethylpyrazine	up	YER163C
365	26Dimethylpyrazine	up	YER063W
366	26Dimethylpyrazine	up	YHR093W
367	26Dimethylpyrazine	up	YOL013C
368	26Dimethylpyrazine	up	YMR306W
369	26Dimethylpyrazine	up	YCL074W
370	26Dimethylpyrazine	up	YJR140C
371	26Dimethylpyrazine	up	YDR441C
372	26Dimethylpyrazine	up	YNL089C
373	26Dimethylpyrazine	up	YBR226C
374	26Dimethylpyrazine	up	YGL202W
375	26Dimethylpyrazine	up	YDR525W-A
376	26Dimethylpyrazine	up	YGL078C
377	26Dimethylpyrazine	up	YGR213C
378	26Dimethylpyrazine	up	YGR040W
379	26Dimethylpyrazine	up	YGR279C
380	26Dimethylpyrazine	up	YER084W
381	26Dimethylpyrazine	up	YML118W
382	26Dimethylpyrazine	up	YGL159W
383	26Dimethylpyrazine	up	YIL155C
384	26Dimethylpyrazine	up	YKL205W
385	26Dimethylpyrazine	up	YOL098C
386	26Dimethylpyrazine	up	YMR269W
387	26Dimethylpyrazine	up	YOR182C
388	26Dimethylpyrazine	up	YER158C
389	26Dimethylpyrazine	up	YBR280C
390	26Dimethylpyrazine	up	YJR128W
391	26Dimethylpyrazine	up	YBR083W
392	26Dimethylpyrazine	up	YLR006C
393	26Dimethylpyrazine	up	YOR165W
394	26Dimethylpyrazine	up	YKL185W
395	26Dimethylpyrazine	up	YPR160W
396	26Dimethylpyrazine	up	YGL062W
397	26Dimethylpyrazine	up	YGR291C
398	26Dimethylpyrazine	up	YBR267W
399	26Dimethylpyrazine	up	YJR116W
400	26Dimethylpyrazine	up	YJL148W
401	26Dimethylpyrazine	up	YBR048W
402	26Dimethylpyrazine	up	YFL013C
403	26Dimethylpyrazine	up	YDR101C
404	26Dimethylpyrazine	up	YHR009C
405	26Dimethylpyrazine	up	YBR090C
